"AnnoRilevamento";"DenominazioneAtl";"Provincia";"Comune";"Cap";"AltitudineComune";"DenominazioneStruttura";"Indirizzo";"NroCivico";"AltitudineStruttura";"Telefono";"Fax";"EMail";"SitoWeb";"Qualifica";"MarchiDiQualitecolabelEuropeo";"AccessoAllaStrutturaubicazionecitt";"AccessoAllaStrutturafuoriCitt";"DistanzetempoAPiediPerRaggiungereIlParcheggio";"DistanzeparcheggioEsternoM";"DistanzeimpRisalitaM";"DistanzestazioneFerroviariaKm";"DistanzecomuneStazioneFerroviaria";"DistanzenomeStazioneFerroviaria";"DistanzecaselloAutostradaKm";"Distanzeautostrada";"Distanzecasello";"DistanzeaereoportoKm";"Distanzeaereoporto";"AccessibilitDiversamenteAbiliidoneitDivAbili";"AccessibilitDiversamenteAbilinrCamereConBagno";"AccessibilitDiversamenteAbilinrPostiAuto";"AccessibilitDiversamenteAbilinrServiziIgenici";"AccessibilitDiversamenteAbilinrDocceCalde";"LingueParlateinglese";"LingueParlatefrancese";"LingueParlatetedesco";"LingueParlatespagnolo";"LingueParlateportoghese";"CapacitRicettivacamereDaLetto";"CapacitRicettivacamerate";"CapacitRicettivabagni";"CapacitRicettivapostiLetto";"CapacitRicettivawc";"CapacitRicettivalavabi";"CapacitRicettivadocce";"AltreCaratteristicheEServiziospitalitaccetGruppi";"AltreCaratteristicheEServizistudenti";"AltreCaratteristicheEServizianimaliDomesticinonAmmessi";"AltreCaratteristicheEServiziammAlGuinzaglio";"AnnoPrezzi";"PrezziGiornalieriPerCamerastagioneUnicasingolaMin";"PrezziGiornalieriPerCamerasingolaMax";"PrezziGiornalieriPerCameradoppiaMin";"PrezziGiornalieriPerCameradoppiaMax";"PrezziGiornalieriPerCameratriplaMin";"PrezziGiornalieriPerCameratriplaMax";"PrezziGiornalieriPerCamera4LettiMin";"PrezziGiornalieriPerCamera4LettiMax";"PrezziGiornalieriPerPersonastagioneUnicacamerateMin";"PrezziGiornalieriPerPersonacamerateMax";"PrezziGiornalieriPerPersonamezzaPensioneMin";"PrezziGiornalieriPerPersonamezzaPensioneMax";"PrezziGiornalieriPerPersonapensioneCompletaMin";"PrezziGiornalieriPerPersonapensioneCompletaMax";"PrimaColazionenonPrevista";"PrimaColazionecompresa";"PrimaColazioneprezziitalianaMin";"PrimaColazioneitalianaMax";"RistorazionesoloOspiti";"RistorazioneancheClientelaEsterna";"RistorazionenumeroCoperti";"RistorazionepiattoUnico";"RistorazionecucinaCeliaca";"RistorazionemenFisso";"RistorazioneconSpecialitPiemontesi";"RistorazionecucinaVegetariana";"ScontiEPromozionigruppiOrganizzati";"ScontiEPromozionibambini";"ScontiEPromozioniguide";"ScontiEPromozionisettimaneBiancheVerdi";"ScontiEPromozionisociAssociazioni";"ModalitDiPagamentoobbligoCaparra";"ModalitDiPagamentobonifico";"ModalitDiPagamentoassegno";"ModalitDiPagamentocontanti";"DotazioniComunitelefonoUsoComune";"DotazioniComuniricetrasmittente";"DotazioniComunibar";"DotazioniComuniareaBarbecue";"DotazioniComuniareaPicNic";"DotazioniComuniradio";"DotazioniComunisalaSoggiornoLettura";"DotazioniComunilocaleAlimentiEBevande";"DotazioniComuniinternetPointgratis";"DotazioniComuniInternetPointPagam";"DotazioniComuniinternetCavoWiFigratis";"DotazioniComuniCavoWiFipagam";"DotazioniComuniterrazzo";"DotazioniComuniparcheggioRiservato";"DotazioniComunicucinaPerGruppiAutogest";"DotazioniComunistufaALegna";"DotazioniComunistufaAKerosene";"DotazioniComunicaminetto";"DotazioniComunifornellinoElettrico";"DotazioniComuniluceElettrica";"DotazioniComuniacquaCalda";"DotazioniComuniacquaAllesterno";"DotazioniComuniserviziIgeniciAllinterno";"DotazioniComuniserviziIgeniciAllesterno";"DotazioniComuniatterraggioElicottero";"DotazioniComunicassettaProntoSoccorso";"DotazioniDeiBivacchiacquaAllinterno";"DotazioniDeiBivacchiacquaAllesterno";"DotazioniDeiBivacchiserviziIgieniciInterni";"DotazioniDeiBivacchiserviziIgieniciEsterni";"DotazioniDeiBivacchiluceElettrica";"DotazioniDeiBivacchifornellinoElettrico";"DotazioniDeiBivacchirfDotazioniBivacchiCuscini";"DotazioniDeiBivacchirfDotazioniBivacchiCoperte";"DotazioniDelleCamereCameratelenzuola";"DotazioniDelleCamereCameratelenzuolaMonouso";"DotazioniDelleCamereCameratecoperte";"DotazioniDelleCamereCameratecuscini";"DotazioniDelleCamereCameratewc";"DotazioniDelleCamereCameratelavabo";"DotazioniDelleCamereCameratedoccia";"DotazioniDelleCamereCamerateteliSpugna";"ImpiantiSportiviESvagoescursioniNaturalistiche";"ImpiantiSportiviESvagoosservBotanicheENaturalist";"ImpiantiSportiviESvagokayak";"ImpiantiSportiviESvagorafting";"ImpiantiSportiviESvagocicloturismo";"ImpiantiSportiviESvagocanyoning";"ImpiantiSportiviESvagosciDaDiscesa";"ImpiantiSportiviESvagosciDiFondo";"ImpiantiSportiviESvagosciAlpinismo";"ImpiantiSportiviESvagofreeClimbing";"ImpiantiSportiviESvagopalestraRoccia";"ImpiantiSportiviESvagoalpinismo";"ImpiantiSportiviESvagoparapendio";"ImpiantiSportiviESvagospeleologia";"ImpiantiSportiviESvagogiochiDiSociet";"AttrezzatureAlpinistiEscursionisticorde";"AttrezzatureAlpinistiEscursionistimoschettoni";"AttrezzatureAlpinistiEscursionistiimbracature";"AttrezzatureAlpinistiEscursionisticaschetti";"AttrezzatureAlpinistiEscursionistibarelle";"AttrezzatureAlpinistiEscursionistislitteBob";"AttrezzatureAlpinistiEscursionistiramponiGhiaccio";"AttrezzatureAlpinistiEscursionistiracchetteDaNeve";"AttrezzatureAlpinistiEscursionistiattrezzatureSci";"AttrezzatureAlpinistiEscursionistisciDiFondo";"AttrezzatureAlpinistiEscursionistisciDaDiscesa";"AttrezzatureAlpinistiEscursionistisnowboard";"AttrezzatureAlpinistiEscursionistibastonciniPerFitwalking";"AttrezzatureAlpinistiEscursionistiattrezzaturaPerArrampicata";"AttrezzatureAlpinistiEscursionistikitViaFerrata";"AttrezzatureAlpinistiEscursionistimountainbike";"ServiziDisponibiliboxCavalli";"ServiziDisponibilielencoGuideAlpine";"ServiziDisponibilidepositoAttrSportive";"ServiziDisponibililocaleRicoveroBici";"ServiziDisponibilinoleggioBici"
"2016";"ATL di Biella";"BIELLA";"MUZZANO";"13895";"565";"BAITA BAGNERI";"FRAZIONE BAGNERI";"SNC";"900";"1521234";"1522351";"segreteria@caibiella.it";"";"Rifugio non gestito";"NO";"NO";"NO";"";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"NO";"NO";"NO";"NO";"NO";"";"";"";"";"";"";"";"NO";"NO";"NO";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Nessuno";"Alcuni";"Alcuni";"Nessuno";"Nessuno";"Nessuno";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
"2016";"ATL di Cuneo";"CUNEO";"ACCEGLIO";"12021";"1200";"VIVIERE";"BORGATA VIVIERE";"--";"1720";"0171/1936074";"";"info@rifugiodiviviere.com";"www.rifugiodiviviere.com";"Rifugio Alpino";"NO";"NO";"SI";"5";"100 m";"";"65,0 km";"CUNEO";"CUNEO";"65,0 km";"A6 TORINO-SAVONA";"CUNEO";"150,0 km";"TORINO CASELLE";"NO";"";"";"";"";"SI";"SI";"SI";"SI";"NO";"5";"";"6";"15";"7";"7";"6";"SI";"NO";"NO";"SI";"2016";"75";"120";"110";"120";"165";"180";"220";"240";"";"";"71";"80";"";"";"NO";"SI";"";"";"NO";"SI";"20";"NO";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Alcuni";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"SI";"NO";"SI";"SI";"SI";"SI"
"2016";"ATL di Cuneo";"CUNEO";"ACCEGLIO";"12021";"1200";"CAMPO BASE";"Localita' Campo Base";"";"1660";"+34 334 841 60 41";"";"info@campobaseacceglio.it";"www.campobaseacceglio.it";"Rifugio Escursionistico";"NO";"SI";"SI";"5";"100 M";"";"62 KM";"CUNEO";"CUNEO";"72 KM";"A6 TORINO-SAVONA";"FOSSANO";"62 KM";"LEVALDIGI CUNEO";"NO";"";"";"1";"";"SI";"SI";"NO";"SI";"NO";"";"4";"2";"32";"4";"4";"4";"SI";"SI";"NO";"SI";"2016";"";"";"";"";"";"";"";"";"25";"27";"42";"44";"58";"60";"NO";"SI";"";"";"NO";"SI";"45";"SI";"NO";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"NO"
"2016";"ATL di Cuneo";"CUNEO";"ARGENTERA";"12010";"1684";"BECCHI ROSSI";"Frazione Ferrere";"";"1910";"338/9337359, 0171/96715,";"";"info@rifugiobecchirossi.com";"www.rifugiobecchirossi.com";"Rifugio Alpino";"NO";"SI";"SI";"5";"100 M";"";"65 KM";"CUNEO";"BORGO S. DALMAZZO";"75 KM";"A 33 CUNEO - ASTI";"MONDOVI";"85 KM";"LEVALDIGI (CN)";"NO";"";"";"";"";"NO";"SI";"NO";"NO";"NO";"";"3";"2";"20";"";"";"";"SI";"SI";"NO";"SI";"2016";"";"";"";"";"";"";"";"";"16";"16";"35";"35";"48";"48";"NO";"NO";"";"";"NO";"NO";"50";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"SI";"SI";"NO";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO"
"2016";"ATL di Biella";"BIELLA";"COGGIOLA";"13863";"460";"MONTE BARONE";"Localita' Alpe Ponasca";"";"1587";"3479381377";"";"davideg0967@gmail.com";"";"Rifugio Alpino";"NO";"NO";"SI";"120";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"SI";"NO";"NO";"NO";"NO";"";"1";"2";"18";"2";"2";"2";"SI";"SI";"NO";"SI";"2016";"";"";"";"";"";"";"";"";"10";"20";"34";"44";"54";"64";"NO";"SI";"";"5.5";"NO";"SI";"24";"NO";"NO";"NO";"SI";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
"2016";"ATL di Cuneo";"CUNEO";"ARGENTERA";"12010";"1684";"RIFUGIO DELLA PACE COMPAGNIA DEL BUON CAMMINO";"Localita' Colle Della Maddalena";"";"2000";"+39 345 960 70 67";"";"rifugiodellapace@gmail.com";"www.rifugiodellapace.it";"Rifugio Escursionistico";"NO";"NO";"SI";"";"30";"8000 KM";"60 km";"BORGO SAN DALMAZZO";"BORGO SAN DALMAZZO";"75 KM";"A 33 ASTI-CUNEO";"CUNEO OVEST";" 87 KM";"LEVALDIGI (CN)";"NO";"";"";"";"";"SI";"SI";"NO";"NO";"NO";"2";"2";"";"24";"3";"4";"1";"SI";"SI";"NO";"SI";"2016";"";"";"";"";"";"";"80";"100";"20";"23";"45";"55";"60";"70";"SI";"NO";"5";"5";"NO";"SI";"30";"SI";"NO";"NO";"SI";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"SI";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"Alcuni";"Nessuno";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO"
"2016";"ATL di Cuneo";"CUNEO";"BRIGA ALTA";"12025";"1310";"CAPANNA MORGANTINI";"LOCALITA' COLLAPIANA";"SNC";"2237";"+39 0171 67 998";"0171/67998";"info@caicuneo.it";"";"Rifugio non gestito";"NO";"NO";"SI";"15";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"NO";"NO";"NO";"NO";"NO";"";"1";"";"18";"";"";"";"NO";"NO";"NO";"NO";"2016";"";"";"";"";"";"";"";"";"10";"20";"";"";"";"";"SI";"NO";"";"";"NO";"NO";"";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Nessuno";"Alcuni";"Alcuni";"Nessuno";"Nessuno";"Nessuno";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
"2016";"ATL di Biella";"BIELLA";"MOSSO";"13822";"625";"ALPE ARTIGNAGA";"LOCALITA ALPE ARTIGNAGA";"SNC";"1375";"3392963105";"";"cai.mosso@tiscali.it; info@caimosso.it";"";"Rifugio non gestito";"NO";"NO";"SI";"";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"NO";"NO";"NO";"NO";"NO";"";"";"";"";"";"";"";"NO";"NO";"NO";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Nessuno";"Nessuno";"Alcuni";"Nessuno";"Nessuno";"Nessuno";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
"2016";"ATL di Biella";"BIELLA";"PETTINENGO";"13843";"664";"ALPE PECCIA";"LOCALITA' ALPE PECCIA";"SNC";"";"158445035";"158445762";"pettinengo@ptb.provincia.biella.it";"";"Bivacco Fisso";"NO";"NO";"SI";"150";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"NO";"NO";"NO";"NO";"NO";"";"1";"";"10";"1";"1";"1";"SI";"SI";"NO";"SI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"NO";"SI";"Nessuno";"Nessuno";"Alcuni";"Nessuno";"Alcuni";"Alcuni";"Nessuno";"Nessuno";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
"2016";"ATL di Biella";"BIELLA";"GRAGLIA";"13895";"596";"MOMBARONE";"Alta Valle Elvo";"";"2312";"15401960";"";"rifugiomombarone@gmail.com";"";"Rifugio Alpino";"NO";"NO";"SI";"";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"SI";"SI";"NO";"NO";"NO";"2";"1";"";"25";"2";"2";"";"NO";"NO";"NO";"SI";"2016";"";"";"";"";"";"";"";"";"15";"15";"40";"40";"";"";"NO";"SI";"";"";"NO";"SI";"70";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"Nessuno";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
"2016";"ATL di Cuneo";"CUNEO";"CAPRAUNA";"12070";"954";"PIAN DELL'ARMA";"Localita' Arma";"";"1350";"+39 337 108 34 10";"";"rifugio@leterrebianche.it";"www.rifugiopiandellarma.it";"Rifugio Alpino";"NO";"NO";"SI";"21";"";"";"40 km";"ALBENGA";"ALBENGA";"38 km";"A 6 TORINO-SAVONA";"ALBENGA";"36 km";"VILLANOVA D'ALBENGA";"SI";"2";"";"2";"1";"SI";"NO";"NO";"NO";"NO";"1";"3";"3";"22";"3";"5";"3";"SI";"SI";"NO";"SI";"2016";"20";"20";"40";"40";"60";"60";"80";"80";"20";"";"46";"46";"64";"64";"NO";"SI";"6";"6";"NO";"SI";"50";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI"
"2016";"ATL di Cuneo";"CUNEO";"CRISSOLO";"12030";"1318";"QUINTINO SELLA AL MONVISO";"Versante Est Del Viso";"";"";"0175 94 943";"0175 49 65 16";"info@rifugiosella.it";"www.rifugiosella.it";"Rifugio Alpino";"NO";"NO";"SI";"160";"";"";"";"";"";"";"";"";"";"";"NO";"";"";"";"";"SI";"SI";"NO";"NO";"NO";"5";"7";"";"89";"7";"5";"2";"SI";"SI";"SI";"NO";"2016";"";"";"";"";"";"";"";"";"10";"20";"38";"48";"52";"62";"NO";"SI";"8";"9";"NO";"SI";"80";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Nessuno";"Alcuni";"Alcuni";"Tutti";"Tutti";"Tutti";"Nessuno";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"NO"
"2016";"ATL di Cuneo";"CUNEO";"SAMPEYRE";"12020";"976";"MEIRA PAULA";"BORGATA MEIRA PAULA";"SNC";"1318";"+39 348 720 57 38";"";"info@meirapaula.it";"www.meirapaula.it";"Rifugio Alpino";"NO";"SI";"SI";"30";"3000";"";"58 KM";"FOSSANO";"FOSSANO";"58 KM";"A 33 CUNEO - ASTI";"FOSSANO";"49 KM";"LEVALDIGI (CN)";"NO";"";"";"";"";"SI";"SI";"NO";"SI";"NO";"4";"";"2";"19";"8";"7";"6";"SI";"SI";"NO";"SI";"2016";"";"";"";"";"";"";"";"";"20";"50";"35";"65";"50";"80";"NO";"SI";"";"";"NO";"SI";"50";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"NO";"SI";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Alcuni";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Tutti";"Tutti";"Tutti";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO"
"2016";"ATL Turismo Torino e Provincia";"TORINO";"BALME";"10070";"1432";"CITTA' DI CIRIE'";"Localita' Pian Della Mussa";"";"1865";"123738158";"";"info@rifugiocirie.eu";"www.rifugiocirie.eu";"Rifugio Escursionistico";"NO";"NO";"SI";"15";"600";"";"20 Km";"Ceres";"Ceres";"50 Km";"Tangenziale Torino";"Falchera";"50 Km";"Caselle";"SI";"";"";"";"";"SI";"SI";"NO";"NO";"NO";"4";"";"2";"9";"";"";"";"SI";"SI";"NO";"SI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NO";"NO";"SI";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"SI";"NO";"SI";"NO";"SI";"SI";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO"
"2016";"ATL Turismo Torino e Provincia";"TORINO";"OULX";"10056";"1100";"GUIDO REY";"Localita' Pra' Meunier Beaulard";"";"1765";"122831350";"";"info.rifugioguidorey@gmail.com";"www.rifugioguidorey.org";"Rifugio Alpino";"NO";"NO";"SI";"60";"2500";"";"6";"BEAULARD";"FS";"10";"A32";"OULX";"110";"CASELLE";"NO";"";"";"";"";"SI";"SI";"NO";"NO";"NO";"10";"";"2";"20";"4";"14";"4";"SI";"SI";"NO";"SI";"2016";"";"";"12";"15";"";"";"";"";"";"";"28.5";"38";"36";"48";"NO";"SI";"5";"6";"NO";"SI";"40";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"SI";"SI";"NO";"NO";"SI";"SI";"SI";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"Nessuno";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Alcuni";"Nessuno";"Nessuno";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO"
