RIFUGI ALPINI DELL'ALTO ADIGE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Gruppi: Sesvenna - Alpi Venoste e Stubai - Tessa;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Julius Payer;Payer-Hütte;3.020;Stelvio;Provincia Autonoma di Bolzano;0473 613010;;www.payerhuette.com;;;;;;;;;;;;;;
Città di Milano;Schaubach-Hütte;2.581;Stelvio;Provincia Autonoma di Bolzano;0473 613002;info@schaubachhuette.it;www.schaubachhuette.it;;;;;;;;;;;;;;
Tabaretta;Tabaretta-Hütte;2.556;Stelvio;Privato;347 2614872;info@tabaretta.com;www.tabaretta.com;;;;;;;;;;;;;;
Oltradige al Roen;Überetscher-Hütte;1.973;Termeno;C.A.I.;0471 812031;info@rifugioroen.it;www.rifugioroen.it;;;;;;;;;;;;;;
Nino Corsi;Zufall-Hütte;2.265;Martello;Provincia Autonoma di Bolzano;0473 744785;info@zufallhuette.com;www.zufallhuette.com;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Dolomiti di Sesto;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Bonner;Bonnerhütte;2.340;Dobbiaco;Comune Dobbiaco;340 9428264;info@bonnerhuette.it;www.bonnerhuette.it;;;;;;;;;;;;;;
Pian di Cengia;Büllelejoch-Hütte;2.528;Sesto;Privato;337 451517;info@rogger.info;www.rogger.info;;;;;;;;;;;;;;
A. Locatelli - S. Innerkofler;Drei-Zinnen-Hütte;2.405;Dobbiaco;C.A.I.;0474 972002;dreizinnenhuette@rolmail.net;www.dreizinnenhuette.com;;;;;;;;;;;;;;
Zsigmondy-Comici;Zsigmondy-Comici-Hütte;2.224;Sesto ;Provincia Autonoma di Bolzano;0474 710358;info@zsigmondyhuette.com;www.zsigmondyhuette.com;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Gruppi: Catinaccio - Sciliar - Sassolungo;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Rè Alberto;Gartl-Hütte;2.621;Tires;Privato;0462 763428;info@rifugiorealberto.com;www.rifugiorealberto.com;;;;;;;;;;;;;;
Bergamo;Grasleiten-Hütte;2.134;Tires;Provincia Autonoma di Bolzano;0471 642103;grasleitenhuette@tiersertal.com;www.tiersertal.com/grasleiten;;;;;;;;;;;;;;
Vicenza al Sasso Lungo;Langkofelhütte;2.253;S. Cristina V.G.;Provincia Autonoma di Bolzano;0471 792323;;;;;;;;;;;;;;;;
Mahlknecht;Mahlknecht-Hütte;2.054;Castelrotto;Privato;0471 727912;info@mahlknechthuette.com;www.mahlknechthuette.com;;;;;;;;;;;;;;
Bullaccia;Puflatsch-Hütte;1.950;Castelrotto;Privato;0471 729090;info@dibaita-puflatschhuette.com;www.dibaita-puflatschhuette.com;;;;;;;;;;;;;;
Passo Santner;Santnerpass-Hütte;2.734;Tires;Privato;340 6562228;CHIUSO;CHIUSO;;;;;;;;;;;;;;
Schlernbödele ;Schlernbödele-Hütte;1.700;Castelrotto;AVS;0471 705345;;www.schlernboedelehuette.it;;;;;;;;;;;;;;
Bolzano al Monte Pez;Schlernhaus;2.450;Fiè allo Sciliar;C.A.I.;0471 612024;info@schlernhaus.it;www.schlernhaus.it;;;;;;;;;;;;;;
Alpe di Tires;Tierser Alpl;2.440;Tires;Privato;0471 727958;info@tierseralpl.com;www.tierseralpl.com;;;;;;;;;;;;;;
Toni Demetz;Toni-Demetz-Hütte;2.685;Selva Val Gardena;Privato;"0471 795050
335 6586796";info@tonidemetz.it;www.tonidemetz.it;;;;;;;;;;;;;;
Tschafon (Monte Cavone);Tschafon-Hütte;1.733;Tires;Privato;347 6586796;info@schutzhaus.tschafon.com;www.schutzhaus-tschafon.com;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Guppi: Odle - Puez - Sella;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Gardenaccia;Gardenazza-Hütte;2.045;Badia;Privato;0471 840128;info@gardenacia.it;www.gardenacia.it;;;;;;;;;;;;;;
Plose;Plose-Hütte;2.446;Bressanone;C.A.I.;0472 521333;plosehuette@dnet.it;www.plosehuette.com;;;;;;;;;;;;;;
Schatzer;Schatzer-Hütte;2.004;Bressanone;Privato;0472 521343;;www.schatzerhuette.com;;;;;;;;;;;;;;
Cavazza al Pisciadù;Pisciadù-Hütte;2.585;Corvara in Badia;C.A.I.;0471 836292;;;;;;;;;;;;;;;;
Crëp de Munt;Crëp-de-Munt-Hütte;1.959;Corvara In Badia;Privato;349 0842885;info@crepdemunt;www.crepdemunt.it;;;;;;;;;;;;;;
Franz Kostner al Vallon;Franz-Kostner-Hütte;2.550;Corvara in Badia;C.A.I.;333 8759838;info@rifugiokostner.it ;www.rifugiokostner.it;;;;;;;;;;;;;;
Puez;Puez-Hütte;2.475;Corvara in Badia;C.A.I.;0471 795365;info@rifugiopuez.it;www.rifugiopuez.it;;;;;;;;;;;;;;
Genova;Schlüter-Hütte;2.297;Funes;Provincia Autonoma di Bolzano;0472 840132;info@schlueterhuette.com;www.schlueterhuette.com;;;;;;;;;;;;;;
Malga Brogles;Brogles-Hütte;2.045;Funes;Privato;0471 655642;;;;;;;;;;;;;;;;
Prato Croce;Kreuzwiese-Hütte;1.924;Luson;Privato;0472 413714;info@kreuzwiesenalm.com;www.kreuzwiesenalm.com;;;;;;;;;;;;;;
Rasciesa;Raschötz-Hütte;2.170;Ortisei;Comune Ortisei;333 3380868;info@rifugioresciesa.com;www.rifugioresciesa.com;;;;;;;;;;;;;;
Firenze;Regensburger-Hütte;2.037;S.Cristina V. G. ;Provincia Autonoma di Bolzano;0471 796307;info@rifugiofirenze.com;www.rifugiofirenze.com;;;;;;;;;;;;;;
Montemuro;Maurerberg-Hütte;2.130;S.Martino inBadia;Privato;0474 520059;info@maurerberg.it;www.maurerberg.it;;;;;;;;;;;;;;
Juac;Juac-Hütte;1.905;Selva Val Gardena;Privato;335 8082321;info@juac.it;www.juac.it;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Gruppi: Fanes - Sennes;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Vallandro;Dürrensteinhütte;2.040;Braies;Privato;0474 972505;info@vallandro.it;www.vallandro.it;;;;;;;;;;;;;;
Fanes;Fanes-Hütte;2.060;Marebbe;Privato;0474 501097;info@rifugiofanes.com;www.rifugiofanes.com;;;;;;;;;;;;;;
Fodara Vedla;Fodara-Vedla-Hütte;1.965;Marebbe;Privato;0474 501093;rifugio@fodara.it;www.fodara.it;;;;;;;;;;;;;;
Santa Croce;Heilgkreuz;2.045;Badia;Privato;0471 839632;s.croce@rolmail.net;www.lacrusc.com;;;;;;;;;;;;;;
Lavarella;La-Varella-Hütte;2.042;Marebbe;Privato;0474 501079;rifugio@lavarella.it;www.lavarella.it;;;;;;;;;;;;;;
Munt de Sennes;Munt de Sennes;2.200;Marebbe;Privato;0474 501311;info@muntdesennes.com;www.muntdesennes.com;;;;;;;;;;;;;;
Scotoni;Scotoni-Hütte;1.985;Badia;Privato;0471 847330;info@scotoni.it;www.scotoni.it;;;;;;;;;;;;;;
Sennes;Sennes-Hütte;2.176;Marebbe;Privato;0474 501092;info@sennes.com;www.sennes.com;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Monti Sarentini;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Rifugio;;m;Comune;Proprietà;Telefono;E-Mail;Internet;;;;;;;;;;;;;;
Forcella Vallaga;Flaggerscharten-Hütte;2.481;Varna;Provincia Autonoma di Bolzano;0471 625251;info@flaggerschartenhuette.com;www.flaggerschartenhuette.com;;;;;;;;;;;;;;
Malga Hinteregg;Hintereggalm;1.974;Scena;Privato;339 6252609;info@hintereggalm.eu;www.hintereggalm.eu;;;;;;;;;;;;;;
Picco Ivigna;Ifinger-Hütte;1.815;Scena;C.A.I.;0473 965111;;;;;;;;;;;;;;;;
Kesselberg;Kesselberg-Hütte;2.300;Sarentino;Privato;0473 279477;;;;;;;;;;;;;;;;
Chiusa;Klausner-Hütte;1.923;Chiusa;C.A.I.;320 7078058;Klausnerhuette@gmail.com;www.klausnerhuette.it;;;;;;;;;;;;;;
Santa Croce;Latzfonser-Kreuz-Hütte;2.302;Chiusa;Privato;0472 545017;info@latzfonserkreuz.com;www.latzfonserkreuz.com;;;;;;;;;;;;;;
Malga Pontelletto;Puntleider-Alm-Hütte;1.777;Fortezza;Privato;349 6442391;;;;;;;;;;;;;;;;
Merano;Meraner-Hütte;1.940;Avelengo;AVS;0473 279405;info@meranerhuette.it;www.meranerhuette.it;;;;;;;;;;;;;;
Lago Rodella;Radlsee-Hütte;2.284;Velturno;AVS;0472 855230;info@radlseehuette.it;www.radlseehuette.it;;;;;;;;;;;;;;
Corno Renon;Rittner-Horn-Haus;2.259;Barbiano;C.A.I.;0471 356207;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
