CODICE ESERCIZIO,TIPO,PROVINCIA,COMUNE,CATEGORIA,TIPOLOGIA,DENOMINAZIONE,LOCALITA,FRAZIONE,INDIRIZZO,CAP,TELEFONO,CELLULARE,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,N_BAGNI,PERIODO_APERTURA,IMPIANTO_SMALTIMENTO_ACQUE,ILLUMINAZIONE_ELETTRICA,ILLUMINAZIONE_GAS,RADIO_TELEFONO,ESTINTORI,LAMPADA_ESTERNA,ATTREZ_PRONTO_SOCCORSO,BARELLA,PALE,SONDA_NEVE,PIAZZOLA_ELICOTTERI,RISTORANTE,TAVOLA_CALDA,BAR,ATTREZZATURE_PREP_PASTI,SPAZIO_CONSUMO_ALIMENTI,TAVOLATO,SMALTIMENTO_RIFIUTI,LOCALE_RICOVERO,RISCALDAMENTO_CENTRALIZZATO,RISCALDAMENTO_CON_STUFA,ALTRO_RISCALDAMENTO,LINGUA_INGLESE,LINGUA_FRANCESE,LINGUA_SPAGNOLA,LINGUA_TEDESCA,ALTRE_LINGUE,ALTRI_IMPIANTI,AMERICAN_EXPRESS,CARTA_SI,DINERS,EUROCARD_MASTERCARD,JCB,VISA,BANCOMAT_POS,CIRRUS,MAESTRO,ALTRE_CARTE_CREDITO
2317,Rifugi alpini ed escursionistici,UDINE,CHIUSAFORTE,In muratura,Rifugio Alpino,"RIFUGIO ALPINO ""CELSO GILBERTI""",CONCA PREVALA,SELLA NEVEA,,33010,0433 54015,,,,,9,28,2,"01.I - 01.V, 20.VI - 20.IX, 05.XII - 31.XII",SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,SI,SI,,SI,SI,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
46541,Rifugi alpini ed escursionistici,PORDENONE,ERTO E CASSO,In muratura,Rifugio escursionistico,CASERA MELA,VAL ZEMOLA,,,33080,,333 7857908,,info@caseramela.it,http://ww.caseramela.it,1,10,3,01.VI - 20.IX,NO,SI,NO,NO,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,NO,,NO,NO,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2332,Rifugi alpini ed escursionistici,UDINE,TARVISIO,In muratura,Rifugio escursionistico,AL CONVENTO,,CAMPOROSSO,"MONTE LUSSARI, 184",33010,0428 63184,338 1781133,0428 63184,jure_montelussari@yahoo.it,,11,30,11,,SI,SI,NO,NO,SI,SI,NO,NO,SI,NO,SI,SI,NO,SI,SI,NO,NO,SI,NO,SI,SI,,SI,NO,NO,SI,"SLOVENO, CROATO",,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2329,Rifugi alpini ed escursionistici,PORDENONE,ERTO E CASSO,In muratura,Rifugio Alpino,MANIAGO,VAL BOZZIA,,"VIA VALZEMOLA, 1",33080,0427 879144,3381697479,,,,2,10,1,20.VI - 20.IX,SI,NO,SI,SI,SI,SI,NO,SI,SI,NO,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,SI,,NO,NO,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2343,Rifugi alpini ed escursionistici,UDINE,MALBORGHETTO VALBRUNA,Altro,Rifugio Alpino,F.LLI GREGO,SELLA SOMPDOGNA,,,33010,0428 60111,349 1997876,,,,6,38,2,15.VI - 20.IX,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,NO,SI,,NO,NO,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
55380,Rifugi alpini ed escursionistici,UDINE,RIGOLATO,In muratura,Rifugio Alpino,RIFUGIO CHIAMPIZZULON,PLAN DI VA   CHIAMPIZZULON,,,,,,,,,9,22,3,01.V - 01.XI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2345,Rifugi alpini ed escursionistici,UDINE,FORNI DI SOPRA,In muratura,Rifugio Alpino,FLAIBAN PACHERINI,VAL DI SUOLA,,,33024,0433 88555,328 8183636,,info@rifugioflaibanpacherini.it,http://www.rifugioflaibanpacherini.it,5,18,3,20.VI - 27.IX,SI,SI,NO,SI,SI,SI,SI,NO,SI,NO,SI,SI,NO,SI,NO,SI,NO,SI,SI,NO,SI,,SI,NO,SI,NO,,Impianto solare termico       Pannelli Fotovoltaici       Generatore corrente a gasolio,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2331,Rifugi alpini ed escursionistici,PORDENONE,CIMOLAIS,In muratura,Rifugio Alpino,PORDENONE,VAL MONTANAIA,,,33080,0427 87300,335 5224961,,rifugio.pordenone@yahoo.it,http://www.rifugiopordenone.it,12,62,2,20.VI - 20.IX,NO,NO,SI,NO,SI,SI,SI,SI,SI,NO,NO,SI,NO,SI,NO,SI,NO,NO,SI,NO,SI,,SI,SI,SI,NO,,TELEFERICA DI SERVIZIO.  RADIO SOCCORSO ALPINO.,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2340,Rifugi alpini ed escursionistici,UDINE,PALUZZA,Altro,Rifugio Alpino,GIOVANNI E OLINTO MARINELLI,FORCELLA MORARETTO,,,33026,0433 779177,347 8523948,,cate_selva@libero.it,,9,50,1,01.VI - 30.IX,SI,SI,NO,SI,SI,NO,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,SI,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
73613,Rifugi alpini ed escursionistici,UDINE,SAPPADA,In muratura,Rifugio Alpino,PIANI DEL CRISTO,,,"VAL SESIS, 118",33012,,3334117548,,,,4,10,2,20.V - 30.IX,SI,SI,NO,NO,SI,SI,SI,SI,SI,NO,SI,SI,NO,SI,NO,SI,NO,SI,NO,NO,SI,,SI,SI,NO,SI,,,SI,SI,NO,SI,NO,SI,SI,NO,SI,
2318,Rifugi alpini ed escursionistici,UDINE,CHIUSAFORTE,Altro,Rifugio Alpino,GIACOMO DI BRAZZA',ALTOPIANO  MONTASIO,SELLA NEVEA,,33010,,346 2280072,,,,2,18,1,15.VI - 30.IX,SI,NO,NO,SI,SI,NO,SI,SI,NO,NO,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
71166,Rifugi alpini ed escursionistici,PORDENONE,CLAUT,Altro,Rifugio Alpino,RIFUGIO PUSSA,PUSSA   VAL SETTIMANA,,,,,349 6200518,,caserapradut@legalmail.it,,6,24,3,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2336,Rifugi alpini ed escursionistici,UDINE,TARVISIO,In muratura,Rifugio Alpino,LUIGI PELLARINI,CARNIZZA DI CAMPOROSSO,,,33018,,,,,,7,45,3,01.IV - 30.X,SI,SI,NO,NO,SI,NO,SI,SI,SI,NO,SI,SI,NO,SI,NO,NO,NO,NO,SI,NO,SI,CAMINETTO A LEGNA,SI,SI,SI,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
48480,Rifugi alpini ed escursionistici,UDINE,COMEGLIANS,In muratura,Rifugio escursionistico,RIFUGIO ESCURSIONISTICO CHIADINAS,CHIADINAS,TUALIS,,33023,,,,info@rifugiochiadinas.it,http://www.rifugiochiadinas.it,4,20,2,01.VI - 20.IX,NO,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,NO,NO,SI,Riscaldamento elettrico  Termosifoni a olio,SI,SI,NO,SI,,"Generatore, gruppo di continuità",NO,NO,NO,NO,NO,NO,NO,NO,NO,
84020,Rifugi alpini ed escursionistici,UDINE,MALBORGHETTO VALBRUNA,In muratura,Rifugio Alpino,"RIFUGIO ALPINO ""F.LLI NORDIO E RICCARDO DEFFER"" DI SPITALI LIANA",SELLA LOM,UGOVIZZA,LOCALITA' SELLA LOM   ALTA VAL UQUA,33010,432942144,320 8151052,,lianeke@libero.it,,4,22,3,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2324,Rifugi alpini ed escursionistici,UDINE,CHIUSAFORTE,In muratura,Rifugio Alpino,RIFUGIO DIVISIONE JULIA,,SELLA NEVEA,"VIA FRIULI, 2",33010,,,,,,8,31,7,01.I - 31.XII,NO,SI,NO,NO,SI,SI,SI,NO,SI,NO,NO,SI,NO,SI,NO,SI,NO,NO,NO,SI,NO,,SI,SI,NO,SI,,,NO,SI,NO,SI,NO,SI,SI,NO,SI,
75460,Rifugi alpini ed escursionistici,PORDENONE,CLAUT,Altro,Rifugio Alpino,RIFUGIO PRADUT,PRADUT,,"PIAN DEL MUSCOL, 1",,,3458289307,,rifugio.pradut@gmail.com,,4,20,4,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
74960,Rifugi alpini ed escursionistici,UDINE,MOGGIO UDINESE,Altro,Rifugio Alpino,RIFUGIO GRAUZARIA,,,"VALLONE RIO FLOP, 0",33015,,347 3896002,,cristinagarelli@alice.it,,2,22,2,01.VI - 30.IX,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
73609,Rifugi alpini ed escursionistici,UDINE,SAPPADA,Altro,Rifugio Alpino,PIER FORTUNATO CALVI,VAL DI SÉSIS,,,32047,0435 469232,,,,,0,0,0,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
73614,Rifugi alpini ed escursionistici,UDINE,SAPPADA,In muratura,Rifugio Alpino,RIFUGIO MONTE FERRO,OSCHTANS,,,32047,,392 9733806,,rifugiomonteferro@gmail.com,,6,22,2,"01.I - 15.III, 15.IV - 31.X, 01.XII - 31.XII",SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,NO,NO,SI,SI,SI,SI,,SI,NO,NO,SI,,,NO,NO,NO,SI,NO,SI,SI,NO,SI,
64121,Rifugi alpini ed escursionistici,UDINE,FORNI AVOLTRI,In muratura,Rifugio Alpino,LAMBERTENGHI ROMANIN,PASSO VOLAIA,,,33020,,,,,,8,96,2,"01.I - 31.I, 01.VI - 31.X, 01.XII - 31.XII",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
73610,Rifugi alpini ed escursionistici,UDINE,SAPPADA,Altro,Rifugio Alpino,SORGENTI DEL PIAVE,,,"VAL SÉSIS, 116",33012,,334 7799175,,liciaeldapiller@virgilio.it,,4,20,2,01.VI - 30.IX,SI,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI,SI,NO,SI,NO,SI,NO,SI,NO,NO,SI,,SI,NO,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,non c'è linea telefonica per POS
80261,Rifugi alpini ed escursionistici,PORDENONE,MEDUNO,In muratura,Rifugio escursionistico,RIFUGIO VALINIS,VALINIS,,,,349 6443947,,,rifugiovalinis@gmail.com,,4,15,4,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2339,Rifugi alpini ed escursionistici,UDINE,PRATO CARNICO,Altro,Rifugio Alpino,F.LLI DE GASPERI,CLAP GRANDE,,,33020,,3661745882,,simone.gonano@gmail.com,http://www.assorifugi.it,14,64,2,01.VI - 30.X,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,NO,SI,SI,SI,NO,SI,,NO,NO,NO,NO,CARNICO,TELEFERICA BAGAGLI  CHIESETTA ALPINA  CAMPO BOCCE  GIARDINO DOLOMITICO  PALESTRA ARRAMPICATA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2344,Rifugi alpini ed escursionistici,UDINE,FORNI DI SOPRA,Altro,Rifugio Alpino,GIAF,CHIANDARENS,,,33024,,347 8531534,,tommasolizzi@gmail.com,,3,24,2,29.V - 30.IX,SI,SI,NO,NO,SI,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,NO,NO,SI,SI,NO,SI,,SI,SI,NO,SI,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2355,Rifugi alpini ed escursionistici,UDINE,MALBORGHETTO VALBRUNA,In muratura,Rifugio escursionistico,RIFUGIO KUGY,,VALBRUNA,"VIA E. COMICI, 11",33010,333 7999272,333 7999272,,barbara.perdan@pec.it,,3,22,5,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,SALA CONFERENZE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
92640,Rifugi alpini ed escursionistici,UDINE,FORNI DI SOPRA,Altro,Rifugio Alpino,RIFUGIO ALPINO CASERA TARTOI,,,"TARTOI, 0",,,3487823575,,infotartoi@gmail.com,,3,16,2,01.VI - 30.IX,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2337,Rifugi alpini ed escursionistici,UDINE,SAVOGNA,In muratura,Rifugio escursionistico,RIFUGIO PELIZZO,MONTE MATAJUR,MONTE MAGGIORE,"VIA MONTEMAGGIORE, 1",33040,0432  730606,,0432 730606,,,6,24,4,,SI,SI,NO,NO,SI,SI,SI,SI,NO,NO,SI,SI,NO,SI,NO,NO,NO,SI,NO,SI,SI,,SI,NO,SI,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
92263,Rifugi alpini ed escursionistici,UDINE,PONTEBBA,In muratura,Rifugio escursionistico,BAITA WINKEL,PASSO PRAMOLLO,,LOCALITA' PASSO PRAMOLLO,33016,,436643372952,,,,3,14,3,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
73612,Rifugi alpini ed escursionistici,UDINE,SAPPADA,Altro,Rifugio Alpino,RIFUGIO 2000,HOCHBOLT,,,32047,,3473053495,,,,8,50,4,"01.I - 31.III, 26.VI - 20.IX, 01.XI - 31.XII",NO,SI,NO,NO,SI,SI,SI,NO,SI,NO,NO,NO,SI,SI,NO,NO,NO,SI,SI,SI,NO,,SI,NO,NO,SI,,,NO,SI,NO,SI,NO,SI,SI,NO,SI,
92000,Rifugi alpini ed escursionistici,UDINE,FORNI DI SOPRA,Altro,Rifugio escursionistico,SOM PICOL,SOM PICOL,,,33024,,3492250377,,,,3,13,2,"01.I - 30.III, 01.VI - 30.IX, 01.XII - 15.XII",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
94306,Rifugi alpini ed escursionistici,UDINE,FORNI AVOLTRI,Altro,Rifugio escursionistico,RIFUGIO E. TOLAZZI,,,"DELLA SEGHERIA, 0",33020,,3273294189,,rifugiotolazzi22@gmail.com,,3,10,1,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
40680,Rifugi alpini ed escursionistici,UDINE,TARVISIO,In muratura,Rifugio Alpino,"RIFUGIO ALPINO ""LUIGI ZACCHI""",,FUSINE IN VAL ROMANA,,33018,393939649589,,,,,4,24,4,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,
